PROVINCE,MONTH,DAY,HOUR,VALUE
BC,2,3,20,10097.0
BC,2,3,21,9948.0
BC,2,3,22,9559.0
BC,2,3,23,8958.0
BC,2,3,24,8504.0
BC,2,4,1,8228.0
BC,2,4,2,8104.0
BC,2,4,3,8084.0
BC,2,4,4,8137.0
BC,2,4,5,8301.0
BC,2,4,6,8745.0
BC,2,4,7,9500.0
BC,2,4,8,10279.0
BC,2,4,9,10340.0
BC,2,4,10,10336.0
BC,2,4,11,10207.0
BC,2,4,12,10068.0
BC,2,4,13,9917.0
BC,2,4,14,9777.0
BC,2,4,15,9612.0
BC,2,4,16,9602.0
BC,2,4,17,9924.0
BC,2,4,18,10534.0
BC,2,4,19,10683.0
BC,2,4,20,10520.0
BC,2,4,21,10260.0
BC,2,4,22,9893.0
BC,2,4,23,9446.0
BC,2,4,24,8943.0
BC,2,5,1,8629.0
BC,2,5,2,8505.0
BC,2,5,3,8469.0
BC,2,5,4,8539.0
BC,2,5,5,8703.0
BC,2,5,6,9116.0
BC,2,5,7,9834.0
BC,2,5,8,10604.0
BC,2,5,9,10644.0
BC,2,5,10,10476.0
BC,2,5,11,10256.0
BC,2,5,12,10078.0
BC,2,5,13,9892.0
BC,2,5,14,9691.0
BC,2,5,15,9545.0
BC,2,5,16,9535.0
BC,2,5,17,9850.0
BC,2,5,18,10406.0
BC,2,5,19,10470.0
BC,2,5,20,10311.0
BC,2,5,21,10113.0
BC,2,5,22,9745.0
BC,2,5,23,9240.0
BC,2,5,24,8772.0
BC,2,6,1,8485.0
BC,2,6,2,8339.0
BC,2,6,3,8309.0
BC,2,6,4,8384.0
BC,2,6,5,8542.0
BC,2,6,6,8932.0
BC,2,6,7,9677.0
BC,2,6,8,10430.0
BC,2,6,9,10498.0
BC,2,6,10,10292.0
BC,2,6,11,10026.0
BC,2,6,12,9788.0
BC,2,6,13,9593.0
BC,2,6,14,9449.0
BC,2,6,15,9295.0
BC,2,6,16,9361.0
BC,2,6,17,9691.0
BC,2,6,18,10283.0
BC,2,6,19,10465.0
BC,2,6,20,10341.0
BC,2,6,21,10132.0
BC,2,6,22,9758.0
BC,2,6,23,9240.0
BC,2,6,24,8811.0
BC,2,7,1,8528.0
BC,2,7,2,8405.0
BC,2,7,3,8344.0
BC,2,7,4,8360.0
BC,2,7,5,8509.0
BC,2,7,6,8890.0
BC,2,7,7,9592.0
BC,2,7,8,10355.0
BC,2,7,9,10320.0
BC,2,7,10,10147.0
BC,2,7,11,9951.0
BC,2,7,12,9770.0
BC,2,7,13,9640.0
BC,2,7,14,9501.0
BC,2,7,15,9387.0
BC,2,7,16,9410.0
BC,2,7,17,9687.0
BC,2,7,18,10221.0
BC,2,7,19,10339.0
BC,2,7,20,10159.0
BC,2,7,21,9903.0
BC,2,7,22,9538.0
BC,2,7,23,9058.0
BC,2,7,24,8596.0
BC,2,8,1,8334.0
BC,2,8,2,8191.0
BC,2,8,3,8127.0
BC,2,8,4,8136.0
BC,2,8,5,8245.0
BC,2,8,6,8539.0
BC,2,8,7,9246.0
BC,2,8,8,9980.0
BC,2,8,9,10136.0
BC,2,8,10,10083.0
BC,2,8,11,10078.0
BC,2,8,12,10023.0
BC,2,8,13,9983.0
BC,2,8,14,9913.0
BC,2,8,15,9812.0
BC,2,8,16,9815.0
BC,2,8,17,10050.0
BC,2,8,18,10449.0
BC,2,8,19,10508.0
BC,2,8,20,10259.0
BC,2,8,21,10022.0
BC,2,8,22,9664.0
BC,2,8,23,9256.0
BC,2,8,24,8871.0
BC,2,9,1,8560.0
BC,2,9,2,8294.0
BC,2,9,3,8177.0
BC,2,9,4,8186.0
BC,2,9,5,8263.0
BC,2,9,6,8487.0
BC,2,9,7,8759.0
BC,2,9,8,9165.0
BC,2,9,9,9552.0
BC,2,9,10,9759.0
BC,2,9,11,9726.0
BC,2,9,12,9652.0
BC,2,9,13,9572.0
BC,2,9,14,9482.0
BC,2,9,15,9311.0
BC,2,9,16,9252.0
BC,2,9,17,9498.0
BC,2,9,18,9957.0
BC,2,9,19,10168.0
BC,2,9,20,9959.0
BC,2,9,21,9771.0
BC,2,9,22,9547.0
BC,2,9,23,9261.0
BC,2,9,24,8850.0
BC,2,10,1,8602.0
BC,2,10,2,8470.0
BC,2,10,3,8455.0
BC,2,10,4,8458.0
BC,2,10,5,8573.0
BC,2,10,6,8758.0
BC,2,10,7,9087.0
BC,2,10,8,9477.0
BC,2,10,9,9766.0
BC,2,10,10,9908.0
BC,2,10,11,9937.0
BC,2,10,12,9916.0
BC,2,10,13,9945.0
BC,2,10,14,9988.0
BC,2,10,15,10050.0
BC,2,10,16,10104.0
BC,2,10,17,10325.0
BC,2,10,18,10703.0
BC,2,10,19,10692.0
BC,2,10,20,10474.0
BC,2,10,21,10188.0
BC,2,10,22,9802.0
BC,2,10,23,9283.0
BC,2,10,24,8817.0
BC,2,11,1,8548.0
BC,2,11,2,8437.0
BC,2,11,3,8439.0
BC,2,11,4,8508.0
